"filename", "language", "TypeScript", "TypeScript React", "CSS", "JSON", "comment", "blank", "total"
"/home/cjfritz/dev/freelance-work/full-blast-gear/@types/props.d.ts", "TypeScript", 30, 0, 0, 0, 0, 9, 39
"/home/cjfritz/dev/freelance-work/full-blast-gear/@types/shop.d.ts", "TypeScript", 30, 0, 0, 0, 0, 5, 35
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/about/[subpage]/layout.tsx", "TypeScript React", 0, 16, 0, 0, 0, 4, 20
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/about/layout.tsx", "TypeScript React", 0, 4, 0, 0, 0, 2, 6
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/api/checkout/remove-items/route.ts", "TypeScript", 15, 0, 0, 0, 0, 3, 18
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/api/mail/route.ts", "TypeScript", 73, 0, 0, 0, 12, 2, 87
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/api/products/[handle]/route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 4
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/api/requests.ts", "TypeScript", 62, 0, 0, 0, 0, 8, 70
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/api/reviews/route.ts", "TypeScript", 9, 0, 0, 0, 0, 4, 13
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/blogs/[handle]/page.tsx", "TypeScript React", 0, 13, 0, 0, 0, 3, 16
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/blogs/layout.tsx", "TypeScript React", 0, 6, 0, 0, 0, 1, 7
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/cart/page.tsx", "TypeScript React", 0, 4, 0, 0, 0, 2, 6
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/collections/[slug]/page.tsx", "TypeScript React", 0, 4, 0, 0, 0, 2, 6
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/company/faq/page.tsx", "TypeScript React", 0, 265, 0, 0, 0, 5, 270
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/company/layout.tsx", "TypeScript React", 0, 25, 0, 0, 0, 4, 29
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/company/page.tsx", "TypeScript React", 0, 84, 0, 0, 0, 0, 84
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/contact/layout.tsx", "TypeScript React", 0, 6, 0, 0, 0, 1, 7
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/contact/page.tsx", "TypeScript React", 0, -3, 0, 0, 0, 0, -3
"/home/cjfritz/dev/freelance-work/full-blast-gear/app/contact/providers.tsx", "TypeScript React", 0, -11, 0, 0, 0, -4, -15
